natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval
"In Melanoma trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Melanoma' AND ""Class of ICI"" = 'PD-L1' AND ""Included in MA"" = 'Yes';",Name of ICI,"{""brand_name"": ""Tecentriq""}",brand_name -> Trial name [MATCH 0.70],"brand_name=""Tecentriq"" -> no close value match (best: Control regimen, 0.44)",no_match,"{""question"": ""In Melanoma trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name."", ""entries"": [{""key"": ""brand_name"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Pancreatic trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""mature""}","maturity -> no close match (best: Author, 0.43)","maturity=""mature"" -> no close value match (best: Trial name, 0.50)",no_match,"{""question"": ""In Pancreatic trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing)."", ""entries"": [{""key"": ""maturity"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Pancreatic trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic';",Secondary endpoint,"{""irAE_assessed"": true}","irAE_assessed -> no close match (best: Trial phase, 0.50)","irAE_assessed=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Pancreatic trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed."", ""entries"": [{""key"": ""irAE_assessed"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Head and Neck combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","SELECT ""Type of combination""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck' AND ""Monotherapy/combination"" = 'Combination';",Type of combination,"{""combo_type_norm"": ""ICI+Chemo""}","combo_type_norm -> no close match (best: Type of combination, 0.67)","combo_type_norm=""ICI+Chemo"" -> Type of combination [1.00], Control arm [0.89], Type of control [0.89]",no_match,"{""question"": ""In Head and Neck combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI)."", ""entries"": [{""key"": ""combo_type_norm"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Avelumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).","SELECT ""Trial phase""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Avelumab';",Trial phase,"{""phase_bucket"": ""late""}","phase_bucket -> no close match (best: Trial phase, 0.50)","phase_bucket=""late"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Avelumab trials, bucket trial phase into early (1/1b/2) vs late (3/4)."", ""entries"": [{""key"": ""phase_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Colorectal trials, interpret the PD-L1 requirement flag as boolean true/false.","SELECT ""Is PD-L1 positivity inclusion criteria""
FROM clinical_trials
WHERE ""Cancer type"" = 'Colorectal';",Is PD-L1 positivity inclusion criteria,"{""pd_l1_required"": true}",pd_l1_required -> Is PD-L1 positivity inclusion criteria [MATCH 0.75],"pd_l1_required=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Colorectal trials, interpret the PD-L1 requirement flag as boolean true/false."", ""entries"": [{""key"": ""pd_l1_required"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Multiple Myeloma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Multiple Myeloma';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Multiple Myeloma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI)
"In Gastric/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Gastric/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint)
"In Esophageal/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Esophageal/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Esophageal/GEJ trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""mature""}","maturity -> no close match (best: Author, 0.43)","maturity=""mature"" -> no close value match (best: Trial name, 0.50)",no_match,"{""question"": ""In Esophageal/GEJ trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing)."", ""entries"": [{""key"": ""maturity"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Head and Neck trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","SELECT ""Clinical setting""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck';",Clinical setting,"{""setting_normalized"": ""metastatic/advanced""}","setting_normalized -> no close match (best: Clincal setting in relation to surgery, 0.50)","setting_normalized=""metastatic/advanced"" -> no close value match (best: Clincal setting in relation to surgery, 0.50)",no_match,"{""question"": ""In Head and Neck trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced."", ""entries"": [{""key"": ""setting_normalized"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Renal cell trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Class of ICI"" = 'PD-L1' AND ""Included in MA"" = 'Yes';",Name of ICI,"{""brand_name"": ""Tecentriq""}",brand_name -> Trial name [MATCH 0.70],"brand_name=""Tecentriq"" -> no close value match (best: Control regimen, 0.44)",no_match,"{""question"": ""In Renal cell trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name."", ""entries"": [{""key"": ""brand_name"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Tremelimumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).","SELECT ""Trial phase""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Tremelimumab';",Trial phase,"{""phase_bucket"": ""late""}","phase_bucket -> no close match (best: Trial phase, 0.50)","phase_bucket=""late"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Tremelimumab trials, bucket trial phase into early (1/1b/2) vs late (3/4)."", ""entries"": [{""key"": ""phase_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Gastric/GEJ trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Class of ICI"" = 'PD-L1' AND ""Included in MA"" = 'Yes';",Name of ICI,"{""brand_name"": ""Tecentriq""}",brand_name -> Trial name [MATCH 0.70],"brand_name=""Tecentriq"" -> no close value match (best: Control regimen, 0.44)",no_match,"{""question"": ""In Gastric/GEJ trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name."", ""entries"": [{""key"": ""brand_name"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Mesothelioma trials, convert 'Original/Follow up' status into a boolean is_follow_up.","SELECT ""Originial publication or Follow-up""
FROM clinical_trials
WHERE ""Cancer type"" = 'Mesothelioma';",Originial publication or Follow-up,"{""is_follow_up"": false}",is_follow_up -> Originial publication or Follow-up [MATCH 1.00],"is_follow_up=false -> no close value match (best: Secondary endpoint, 0.67)",no_match,"{""question"": ""In Mesothelioma trials, convert 'Original/Follow up' status into a boolean is_follow_up."", ""entries"": [{""key"": ""is_follow_up"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In NSCLC trials, convert 'Type of therapy' into is_combination = true/false.","SELECT ""Type of therapy""
FROM clinical_trials
WHERE ""Cancer type"" = 'NSCLC';",Type of therapy,"{""is_combination"": true}",is_combination -> Monotherapy/combination [MATCH 1.00],"is_combination=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In NSCLC trials, convert 'Type of therapy' into is_combination = true/false."", ""entries"": [{""key"": ""is_combination"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Nivolumab, Ipilimumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).","SELECT ""Total sample size""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Nivolumab, Ipilimumab';",Total sample size,"{""size_bucket"": ""large""}","size_bucket -> no close match (best: Total sample size, 0.50)","size_bucket=""large"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Nivolumab, Ipilimumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300)."", ""entries"": [{""key"": ""size_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Small Cell Lung trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung' AND ""Class of ICI"" = 'PD-L1' AND ""Included in MA"" = 'Yes';",Name of ICI,"{""brand_name"": ""Tecentriq""}",brand_name -> Trial name [MATCH 0.70],"brand_name=""Tecentriq"" -> no close value match (best: Control regimen, 0.44)",no_match,"{""question"": ""In Small Cell Lung trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name."", ""entries"": [{""key"": ""brand_name"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Prostate combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","SELECT ""Type of combination""
FROM clinical_trials
WHERE ""Cancer type"" = 'Prostate' AND ""Monotherapy/combination"" = 'Combination';",Type of combination,"{""combo_type_norm"": ""ICI+Chemo""}","combo_type_norm -> no close match (best: Type of combination, 0.67)","combo_type_norm=""ICI+Chemo"" -> Type of combination [1.00], Control arm [0.89], Type of control [0.89]",no_match,"{""question"": ""In Prostate combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI)."", ""entries"": [{""key"": ""combo_type_norm"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Nivolumab, Ipilimumab trials in Colorectal, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Nivolumab, Ipilimumab' AND ""Cancer type"" = 'Colorectal';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Nivolumab, Ipilimumab trials in Colorectal, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Mesothelioma trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Mesothelioma' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Mesothelioma trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Breast trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE ""Cancer type"" = 'Breast';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""mature""}","maturity -> no close match (best: Author, 0.43)","maturity=""mature"" -> no close value match (best: Trial name, 0.50)",no_match,"{""question"": ""In Breast trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing)."", ""entries"": [{""key"": ""maturity"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Small Cell Lung trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Small Cell Lung trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In NSCLC Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE ""Cancer type"" = 'NSCLC' AND ""Trial phase"" = 'Phase 3';",Control arm,"{""control_category"": ""placebo""}",control_category -> Control arm [MATCH 0.74],"control_category=""placebo"" -> Control arm [1.00], Control regimen [1.00], Name of ICI [1.00], Type of control [1.00]",no_match,"{""question"": ""In NSCLC Phase 3 trials, classify the control arm as active, placebo, or best supportive care."", ""entries"": [{""key"": ""control_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In renal cell carcinoma studies using ICI+Anti-VEGF, list the specific anti-VEGF agent(s) from the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Type of combination"" = 'ICI+Anti-VEGF';",Treatment regimen,"{""anti_vegf_agents"": [""bevacizumab""]}","anti_vegf_agents -> no close match (best: Control regimen, 0.47)","anti_vegf_agents=[""bevacizumab""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In renal cell carcinoma studies using ICI+Anti-VEGF, list the specific anti-VEGF agent(s) from the treatment regimen."", ""entries"": [{""key"": ""anti_vegf_agents"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Gastric/GEJ Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Trial phase"" = 'Phase 3';",Control arm,"{""control_category"": ""placebo""}",control_category -> Control arm [MATCH 0.74],"control_category=""placebo"" -> Control arm [1.00], Control regimen [1.00], Name of ICI [1.00], Type of control [1.00]",no_match,"{""question"": ""In Gastric/GEJ Phase 3 trials, classify the control arm as active, placebo, or best supportive care."", ""entries"": [{""key"": ""control_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Renal cell trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell';",Secondary endpoint,"{""irAE_assessed"": true}","irAE_assessed -> no close match (best: Trial phase, 0.50)","irAE_assessed=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Renal cell trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed."", ""entries"": [{""key"": ""irAE_assessed"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Pancreatic trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Pancreatic trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Small Cell Lung trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Small Cell Lung trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Atezolizumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).","SELECT ""Trial phase""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Atezolizumab';",Trial phase,"{""phase_bucket"": ""late""}","phase_bucket -> no close match (best: Trial phase, 0.50)","phase_bucket=""late"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Atezolizumab trials, bucket trial phase into early (1/1b/2) vs late (3/4)."", ""entries"": [{""key"": ""phase_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Chemotherapy trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).","SELECT ""Total sample size""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Chemotherapy';",Total sample size,"{""size_bucket"": ""large""}","size_bucket -> no close match (best: Total sample size, 0.50)","size_bucket=""large"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Chemotherapy trials, bucket total sample size as small(<100), medium(100–299), or large(≥300)."", ""entries"": [{""key"": ""size_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Renal cell trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Renal cell trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Urothelial trials, convert 'Original/Follow up' status into a boolean is_follow_up.","SELECT ""Originial publication or Follow-up""
FROM clinical_trials
WHERE ""Cancer type"" = 'Urothelial';",Originial publication or Follow-up,"{""is_follow_up"": false}",is_follow_up -> Originial publication or Follow-up [MATCH 1.00],"is_follow_up=false -> no close value match (best: Secondary endpoint, 0.67)",no_match,"{""question"": ""In Urothelial trials, convert 'Original/Follow up' status into a boolean is_follow_up."", ""entries"": [{""key"": ""is_follow_up"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Pancreatic trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Pancreatic trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Gastric/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In Gastric/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Hepatocellular trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Hepatocellular trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
